,playerName,team,rating,region,agent,playerCategory,playerStatistics.average_combat_score,playerStatistics.kill_deaths,playerStatistics.kill_assists_survived_traded,playerStatistics.average_damage_per_round,playerStatistics.kills_per_round,playerStatistics.assists_per_round,playerStatistics.first_kills_per_round,playerStatistics.first_deaths_per_round,playerStatistics.headshot_percentage,playerStatistics.clutch_success_percentage
0,Kouf,AMB,1.53,Americas,"['reyna', 'kayo']",vct-challengers,298.0,1.48,74%,185.9,1.03,0.36,0.13,0.03,35%,15%
1,nelu,63,1.31,Americas,"['viper', 'sova', 'breach']",vct-challengers,266.7,1.15,75%,182.0,0.86,0.40,0.06,0.06,30%,21%
2,welyy,Blue,1.31,Americas,"['sova', 'fade', 'breach']",vct-challengers,240.9,1.26,74%,164.1,0.82,0.39,0.07,0.04,27%,10%
3,ShoT_UP,TOR,1.29,Americas,"['skye', 'astra', 'killjoy']",vct-challengers,240.2,1.25,78%,158.6,0.82,0.40,0.06,0.06,25%,25%
4,mada,NRG,1.26,Americas,"['raze', 'jett', 'reyna']",vct-challengers,268.8,1.34,76%,172.9,0.93,0.19,0.24,0.13,26%,11%
5,MattyIce,Equi,1.26,Americas,"['chamber', 'cypher']",vct-challengers,256.5,1.27,58%,166.1,1.00,0.06,0.03,0.18,42%,17%
6,PapaSmurf,VEXO,1.24,Americas,"['viper', 'omen']",vct-challengers,247.3,1.19,81%,160.0,0.89,0.42,0.06,0.06,22%,10%
7,sonofcar,LS,1.24,Americas,"['chamber', 'raze', 'jett']",vct-challengers,257.6,1.32,75%,171.0,0.94,0.20,0.24,0.13,26%,24%
8,Sueiy,DXG,1.23,Americas,"['omen', 'astra']",vct-challengers,219.5,1.13,74%,144.6,0.86,0.45,0.07,0.10,34%,30%
9,florescent,SR,1.23,Americas,"['raze', 'jett']",vct-challengers,267.9,1.23,71%,178.2,0.92,0.22,0.17,0.14,26%,15%
10,kajsiab,43,1.22,Americas,['sova'],vct-challengers,230.0,1.00,67%,166.8,0.72,0.26,0.09,0.05,42%,
11,practo,Non-,1.22,Americas,"['sova', 'viper']",vct-challengers,246.3,1.17,69%,166.7,0.88,0.14,0.07,0.05,35%,13%
12,Suhnny,FLUX,1.22,Americas,"['gekko', 'fade']",vct-challengers,253.0,1.33,71%,157.9,0.95,0.21,0.07,0.07,28%,20%
